date,city,temperature_c,humidity,precipitation_mm,wind_speed,cloud_cover,air_quality
2024-01-01,New York,-2,78,15,15,90,Moderate
2024-01-01,London,5,85,20,20,95,Poor
2024-01-01,Tokyo,8,65,0,10,40,Good
2024-01-02,New York,0,75,5,12,70,Moderate
2024-01-02,London,6,82,12,18,85,Poor
2024-01-02,Tokyo,9,60,0,8,30,Good
2024-01-03,New York,1,70,2,10,60,Good
2024-01-03,London,4,88,25,22,95,Poor
2024-01-03,Tokyo,10,55,0,5,20,Good
2024-01-04,New York,3,72,0,8,40,Moderate
2024-01-04,London,7,80,8,15,70,Moderate
2024-01-04,Tokyo,12,50,0,12,25,Good
2024-01-05,New York,5,68,0,5,30,Good
2024-01-05,London,8,75,5,10,50,Good
2024-01-05,Tokyo,11,48,0,8,20,Good
2024-01-06,New York,-1,80,8,18,80,Moderate
2024-01-06,London,3,90,30,25,100,Poor
2024-01-06,Tokyo,7,58,5,15,45,Moderate
2024-01-07,New York,-3,85,12,20,95,Moderate
2024-01-07,London,2,87,18,22,90,Poor
2024-01-07,Tokyo,6,62,2,12,50,Good
2024-01-08,New York,2,65,0,7,35,Good
2024-01-08,London,9,70,3,12,55,Moderate
2024-01-08,Tokyo,14,45,0,9,25,Good
2024-01-09,New York,4,60,0,6,25,Good
2024-01-09,London,10,68,0,10,40,Good
2024-01-09,Tokyo,15,42,0,7,15,Good
2024-01-10,New York,6,58,0,5,20,Good
2024-01-10,London,12,65,0,8,30,Good
2024-01-10,Tokyo,17,40,0,6,10,Good
2024-01-11,New York,-2,82,10,17,85,Moderate
2024-01-11,London,3,89,22,20,95,Poor
2024-01-11,Tokyo,8,63,0,11,35,Good
2024-01-12,New York,-4,88,18,22,100,Moderate
2024-01-12,London,1,92,35,28,100,Poor
2024-01-12,Tokyo,6,70,8,16,60,Moderate
2024-01-13,New York,8,55,0,6,20,Good
2024-01-13,London,15,60,0,9,30,Good
2024-01-13,Tokyo,20,45,0,7,15,Good
2024-01-14,New York,10,50,0,5,15,Good
2024-01-14,London,18,55,0,8,25,Good
2024-01-14,Tokyo,22,40,0,6,10,Good
2024-01-15,New York,12,48,0,4,10,Good
2024-01-15,London,20,50,0,7,20,Good
2024-01-15,Tokyo,24,38,0,5,5,Good
2024-01-01,New York,-2,78,15,15,90,Moderate
2024-01-01,London,5,85,20,20,95,Poor
2024-01-01,Tokyo,8,65,0,10,40,Good
2024-01-02,New York,0,75,5,12,70,Moderate
2024-01-02,London,6,82,12,18,85,Poor
2024-01-02,Tokyo,9,60,0,8,30,Good
2024-01-03,New York,1,70,2,10,60,Good
2024-01-03,London,4,88,25,22,95,Poor
2024-01-03,Tokyo,10,55,0,5,20,Good
2024-01-04,New York,3,72,0,8,40,Good
2024-01-04,London,7,80,8,15,70,Moderate
2024-01-04,Tokyo,12,50,0,12,25,Good
2024-01-05,New York,5,68,0,5,30,Good
2024-01-05,London,8,75,5,10,50,Moderate
2024-01-05,Tokyo,11,48,0,8,20,Good
2024-01-06,New York,-1,80,8,18,80,Moderate
2024-01-06,London,3,90,30,25,100,Poor
2024-01-06,Tokyo,7,58,5,15,45,Good
2024-01-07,New York,-3,85,12,20,95,Moderate
2024-01-07,London,2,87,18,22,90,Poor
2024-01-07,Tokyo,6,62,2,12,50,Good
2024-01-08,New York,2,65,0,7,35,Good
2024-01-08,London,9,70,3,12,55,Moderate
2024-01-08,Tokyo,14,45,0,9,25,Good
2024-01-09,New York,4,60,0,6,25,Good
2024-01-09,London,10,68,0,10,40,Good
2024-01-09,Tokyo,15,42,0,7,15,Good
2024-01-10,New York,6,58,0,5,20,Good
2024-01-10,London,12,65,0,8,30,Good
2024-01-10,Tokyo,17,40,0,6,10,Good
2024-01-11,New York,-2,82,10,17,85,Moderate
2024-01-11,London,3,89,22,20,95,Poor
2024-01-11,Tokyo,8,63,0,11,35,Good
2024-01-12,New York,-4,88,18,22,100,Moderate
2024-01-12,London,1,92,35,28,100,Poor
2024-01-12,Tokyo,6,70,8,16,60,Moderate
2024-01-13,New York,-1,76,5,14,75,Moderate
2024-01-13,London,5,80,10,16,80,Poor
2024-01-13,Tokyo,9,58,0,10,30,Good
2024-01-14,New York,3,70,0,9,45,Good
2024-01-14,London,8,72,2,12,50,Moderate
2024-01-14,Tokyo,13,48,0,8,20,Good
2024-01-15,New York,5,65,0,7,30,Good
2024-01-15,London,11,68,0,9,35,Good
2024-01-15,Tokyo,16,42,0,6,15,Good
2024-01-16,New York,0,72,3,11,65,Moderate
2024-01-16,London,7,78,8,14,70,Moderate
2024-01-16,Tokyo,10,55,0,9,25,Good
2024-01-17,New York,-3,84,14,19,90,Moderate
2024-01-17,London,2,85,20,21,95,Poor
2024-01-17,Tokyo,7,65,2,13,50,Good
2024-01-18,New York,-5,90,22,25,100,Poor
2024-01-18,London,0,95,40,30,100,Poor
2024-01-18,Tokyo,5,72,10,18,70,Moderate
2024-01-19,New York,-2,82,8,18,85,Moderate
2024-01-19,London,4,88,15,20,90,Poor
2024-01-19,Tokyo,8,60,0,12,35,Good
2024-01-20,New York,1,68,0,10,50,Good
2024-01-20,London,9,70,5,14,60,Moderate
2024-01-20,Tokyo,12,48,0,10,20,Good
2024-01-21,New York,4,60,0,8,35,Good
2024-01-21,London,10,65,0,11,40,Good
2024-01-21,Tokyo,14,42,0,8,15,Good
2024-01-22,New York,6,55,0,6,25,Good
2024-01-22,London,13,60,0,9,30,Good
2024-01-22,Tokyo,18,38,0,7,10,Good
2024-01-23,New York,3,70,2,12,60,Good
2024-01-23,London,8,75,8,15,75,Moderate
2024-01-23,Tokyo,11,52,0,11,30,Good
2024-01-24,New York,0,78,8,16,85,Moderate
2024-01-24,London,5,85,18,20,90,Poor
2024-01-24,Tokyo,7,65,5,14,55,Moderate
2024-01-25,New York,-1,80,12,18,90,Moderate
2024-01-25,London,3,90,25,24,100,Poor
2024-01-25,Tokyo,6,70,8,15,65,Moderate
2024-01-26,New York,2,72,5,14,70,Moderate
2024-01-26,London,7,78,10,16,80,Moderate
2024-01-26,Tokyo,9,58,2,12,40,Good
2024-01-27,New York,5,65,0,10,45,Good
2024-01-27,London,11,70,3,13,55,Moderate
2024-01-27,Tokyo,13,48,0,9,25,Good
2024-01-28,New York,7,60,0,8,35,Good
2024-01-28,London,14,65,0,10,40,Good
2024-01-28,Tokyo,16,40,0,8,15,Good
2024-01-29,New York,4,68,0,9,40,Good
2024-01-29,London,10,72,2,12,50,Good
2024-01-29,Tokyo,12,50,0,10,20,Good
2024-01-30,New York,1,75,3,13,65,Moderate
2024-01-30,London,6,80,8,15,70,Moderate
2024-01-30,Tokyo,8,60,0,11,30,Good
2024-01-31,New York,-2,85,10,18,85,Moderate
2024-01-31,London,2,88,20,22,95,Poor
2024-01-31,Tokyo,5,68,5,14,50,Good
2024-02-01,New York,-3,88,15,20,95,Moderate
2024-02-01,London,1,90,28,25,100,Poor
2024-02-01,Tokyo,4,72,8,16,60,Moderate
2024-02-02,New York,0,80,8,17,85,Moderate
2024-02-02,London,4,85,15,20,90,Poor
2024-02-02,Tokyo,7,65,3,13,45,Good
2024-02-03,New York,3,72,0,12,60,Good
2024-02-03,London,8,78,5,15,70,Moderate
2024-02-03,Tokyo,10,55,0,10,30,Good
2024-02-04,New York,5,68,0,9,40,Good
2024-02-04,London,10,70,0,12,45,Good
2024-02-04,Tokyo,13,48,0,8,20,Good
2024-02-05,New York,7,60,0,7,30,Good
2024-02-05,London,12,65,0,10,35,Good
2024-02-05,Tokyo,15,42,0,7,15,Good
2024-02-06,New York,4,70,2,11,55,Good
2024-02-06,London,9,75,5,14,65,Moderate
2024-02-06,Tokyo,11,52,0,10,25,Good
2024-02-07,New York,1,78,8,15,80,Moderate
2024-02-07,London,5,82,15,18,85,Poor
2024-02-07,Tokyo,8,60,2,12,40,Good
2024-02-08,New York,-1,82,12,18,90,Moderate
2024-02-08,London,2,88,22,22,95,Poor
2024-02-08,Tokyo,6,68,5,14,55,Moderate
2024-02-09,New York,-4,90,20,24,100,Poor
2024-02-09,London,0,95,35,28,100,Poor
2024-02-09,Tokyo,4,75,10,17,70,Moderate
2024-02-10,New York,-2,85,12,19,95,Moderate
2024-02-10,London,3,88,18,22,90,Poor
2024-02-10,Tokyo,7,65,3,13,50,Good
2024-02-11,New York,2,75,5,14,70,Moderate
2024-02-11,London,7,78,8,16,75,Moderate
2024-02-11,Tokyo,10,55,0,10,30,Good
2024-02-12,New York,5,68,0,10,45,Good
2024-02-12,London,10,70,0,12,50,Good
2024-02-12,Tokyo,13,48,0,8,20,Good
2024-02-13,New York,8,60,0,8,35,Good
2024-02-13,London,13,62,0,10,40,Good
2024-02-13,Tokyo,16,40,0,7,15,Good
2024-02-14,New York,6,65,0,9,40,Good
2024-02-14,London,11,68,2,11,50,Good
2024-02-14,Tokyo,14,45,0,8,20,Good
2024-02-15,New York,3,72,3,12,60,Good
2024-02-15,London,8,75,8,14,70,Moderate
2024-02-15,Tokyo,9,58,0,10,30,Good
2024-02-16,New York,0,80,10,16,85,Moderate
2024-02-16,London,4,85,18,20,90,Poor
2024-02-16,Tokyo,6,70,5,14,55,Moderate
2024-02-17,New York,-2,85,15,20,95,Moderate
2024-02-17,London,1,90,25,24,100,Poor
2024-02-17,Tokyo,5,72,8,16,65,Moderate
2024-02-18,New York,-5,92,25,28,100,Poor
2024-02-18,London,-1,95,40,32,100,Poor
2024-02-18,Tokyo,3,78,12,18,75,Moderate
2024-02-19,New York,-3,88,18,22,95,Moderate
2024-02-19,London,2,88,22,24,95,Poor
2024-02-19,Tokyo,6,68,5,15,50,Good
2024-02-20,New York,0,78,8,17,80,Moderate
2024-02-20,London,5,82,12,18,85,Poor
2024-02-20,Tokyo,8,60,0,12,35,Good
2024-02-21,New York,3,72,0,12,55,Good
2024-02-21,London,8,75,5,14,65,Moderate
2024-02-21,Tokyo,11,55,0,10,25,Good
2024-02-22,New York,6,65,0,9,40,Good
2024-02-22,London,11,68,0,11,45,Good
2024-02-22,Tokyo,14,45,0,8,20,Good
2024-02-23,New York,8,60,0,8,30,Good
2024-02-23,London,13,62,0,10,35,Good
2024-02-23,Tokyo,17,40,0,7,15,Good
2024-02-24,New York,10,58,0,7,25,Good
2024-02-24,London,15,60,0,9,30,Good
2024-02-24,Tokyo,19,38,0,6,10,Good
2024-02-25,New York,7,65,0,9,35,Good
2024-02-25,London,12,68,0,11,40,Good
2024-02-25,Tokyo,15,42,0,8,20,Good
2024-02-26,New York,4,70,2,11,55,Good
2024-02-26,London,9,75,5,14,65,Moderate
2024-02-26,Tokyo,11,52,0,10,30,Good
2024-02-27,New York,1,78,8,15,80,Moderate
2024-02-27,London,5,82,15,18,85,Poor
2024-02-27,Tokyo,8,60,2,12,40,Good
2024-02-28,New York,-1,82,12,18,90,Moderate
2024-02-28,London,2,88,20,22,95,Poor
2024-02-28,Tokyo,6,68,5,14,55,Moderate
2024-02-29,New York,0,80,10,16,85,Moderate
2024-02-29,London,4,85,18,20,90,Poor
2024-02-29,Tokyo,7,65,3,13,45,Good
