post_id,platform,post_type,time_of_day,followers,likes,shares,comments,engagement_rate
P001,Instagram,Image,Morning,10000,1200,450,300,19.5
P002,Facebook,Video,Evening,5000,800,200,150,23.0
P003,Twitter,Text,Afternoon,20000,500,100,50,3.25
P004,Instagram,Video,Evening,15000,2500,800,600,26.0
P005,Facebook,Image,Morning,8000,600,150,80,10.4
P006,TikTok,Video,Night,50000,5000,2000,1200,16.4
P007,Instagram,Carousel,Afternoon,12000,1800,600,400,23.3
P008,Twitter,Image,Morning,15000,300,80,40,2.8
P009,Facebook,Video,Evening,10000,1200,300,200,17.0
P010,TikTok,Dance,Night,75000,8000,3500,2000,18.0
P011,Instagram,Story,Afternoon,9000,800,200,100,12.2
P012,Twitter,Video,Evening,12000,400,120,60,4.8
P013,Facebook,Image,Afternoon,7000,500,100,70,9.6
P014,Instagram,Reel,Night,20000,3000,1200,800,25.0
P015,TikTok,Challenge,Night,100000,12000,5000,3000,20.0
P016,Twitter,Poll,Morning,8000,200,60,180,5.5
P017,Facebook,Video,Morning,6000,400,80,50,8.8
P018,Instagram,IGTV,Night,11000,1500,500,300,20.9
P019,TikTok,Duet,Night,60000,6000,2500,1500,16.7
P020,Twitter,Thread,Afternoon,25000,800,250,400,5.8
