Index,Company,City,Country,country_label,company_len,email_domain,phone_digits,sub_year,sub_month,sub_days_since
1,Stewart-Flynn,Rowlandberg,Macao,124,13,gomez-spencer.info,29,2021,7,1780
2,"Terry, Proctor and Lawrence",Bethside,Papua New Guinea,166,27,mccoy.com,29,2021,6,1812
3,Bailey Group,Moniquemouth,China,44,12,pierce.org,27,2020,4,2257
4,Moss-Maxwell,Leeborough,Macao,124,12,hubbard.org,24,2020,11,2019
5,Mccarthy-Kelley,Port Jacksonland,Nepal,149,15,roberson.info,26,2022,4,1510
6,Cherry and Sons,Webertown,Sudan,203,15,leonard.com,27,2021,11,1666
7,"Yu, Norman and Sharp",West Sandra,Japan,106,20,stephens.info,25,2022,3,1537
8,"French, Travis and Hensley",New Yolanda,Fiji,69,26,austin-caldwell.com,26,2020,8,2126
9,"Moon, Strickland and Combs",East Normanchester,Seychelles,192,26,church-lutz.com,25,2020,12,1988
10,May Inc,Welchton,United Arab Emirates,226,7,mckenzie.biz,23,2020,9,2106
11,Rios and Sons,West Devon,Burundi,35,13,henson-harris.biz,20,2021,4,1871
12,Bradford and Sons,West Francisco,Palau,163,17,arroyo-baldwin.com,20,2022,1,1603
13,Kerr-Cherry,Holtfurt,Uganda,224,11,skinner-sloan.biz,23,2022,4,1514
14,"Hooper, Cross and Holt",Batesville,Liechtenstein,121,22,duke.com,30,2021,3,1922
15,"Leonard, Galvan and Blackburn",Barbaraborough,Haiti,90,29,sweeney.com,25,2022,1,1592
16,Preston-Sosa,Velasquezberg,Iran,99,12,maxwell.info,23,2020,5,2202
17,Richard-Velasquez,Toddhaven,Switzerland,208,17,faulkner-may.com,31,2020,1,2330
18,"Rangel, Livingston and Patel",Douglasland,Seychelles,192,28,donovan-keith.com,21,2021,7,1779
19,Harvey PLC,Barrettshire,Montserrat,143,10,sampson.com,26,2022,4,1521
20,Best-Thomas,Roblesport,Kiribati,111,11,frank-king.org,23,2020,9,2098
21,Watts-Allison,West Jocelynfort,Korea,112,13,hood-zhang.org,25,2020,1,2349
22,"Cherry, Schultz and Ruiz",Port Cameronbury,Bangladesh,17,24,benjamin.com,24,2020,11,2042
23,Warner-Hodge,West Rachael,Gabon,75,12,mata.com,27,2022,1,1621
24,Giles LLC,Mejiashire,Jersey,107,9,olsen.com,30,2022,2,1563
25,Wiley Ltd,Mindyborough,Latvia,116,9,pugh.com,30,2020,2,2315
26,Duffy Inc,Eileenbury,Mongolia,141,9,velazquez.com,24,2021,10,1690
27,Oneal and Sons,East Andre,Bouvet Island (Bouvetoya),28,14,bright-tucker.com,21,2020,7,2169
28,Barry-Martinez,Atkinsfurt,Vanuatu,232,14,moyer.com,20,2020,2,2305
29,Burns and Sons,North Joannashire,Sri Lanka,202,14,gilbert.com,31,2022,3,1561
30,Potter-Ho,Mccormickville,Iraq,100,9,grant-morrison.com,27,2021,9,1740
31,Boone-Dawson,Lake Dwayne,Liechtenstein,121,12,mason.com,29,2021,11,1679
32,Roberts-Heath,Benjaminchester,United Arab Emirates,226,13,roman-walter.biz,23,2021,5,1861
33,Hays-Howell,East Brad,Azerbaijan,14,11,vang-wagner.com,27,2020,6,2176
34,Cohen-Copeland,Tonyville,Armenia,10,14,roach-winters.com,30,2021,5,1861
35,"Petersen, Blackburn and Meyers",Tommyland,Mexico,137,30,patel.biz,25,2021,12,1650
36,"Woodard, Haas and Mason",Port Carlside,Cuba,53,23,christensen.com,25,2020,10,2075
37,Sheppard-Dougherty,Kimmouth,South Georgia and the South Sandwich Islands,200,18,webb.com,25,2020,2,2313
38,"Cortez, Hester and Villegas",Melendezland,Guinea,87,27,harvey.com,29,2020,3,2291
39,Walton-Drake,Pittmanmouth,Kenya,110,12,haas-oneill.org,20,2020,2,2296
40,"Escobar, Carrillo and Sloan",Hollandshire,United States of America,229,27,riley-wolf.org,25,2020,1,2352
41,Coleman LLC,New Ebony,Liechtenstein,121,11,stout.com,31,2021,12,1634
42,Lane Ltd,Lake Don,Turks and Caicos Islands,222,8,tate.biz,23,2020,11,2047
43,"Wall, Clay and Mcintosh",South Lynnton,Swaziland,206,23,harvey.biz,30,2021,4,1886
44,"Logan, Boyle and Villegas",West Henry,Panama,165,25,david.com,30,2020,9,2100
45,"Peck, Nicholson and Knox",Port Grace,Saint Pierre and Miquelon,184,24,singh.com,23,2020,8,2124
46,Tanner LLC,East Paulaville,American Samoa,3,10,baker-olsen.com,29,2022,3,1558
