transaction_id,date,product_category,product_name,quantity,unit_price,customer_region,payment_method,sales_amount
T1001,2024-01-15,Electronics,Laptop,2,899.99,North,credit_card,1799.98
T1002,2024-01-15,Clothing,Jeans,3,49.99,South,cash,149.97
T1003,2024-01-16,Electronics,Headphones,5,79.99,East,debit_card,399.95
T1004,2024-01-16,Home,Chair,1,199.99,West,credit_card,199.99
T1005,2024-01-17,Clothing,Shirt,4,29.99,North,paypal,119.96
T1006,2024-01-17,Books,Novel,10,15.99,South,credit_card,159.90
T1007,2024-01-18,Electronics,Monitor,2,249.99,East,cash,499.98
T1008,2024-01-18,Home,Lamp,3,45.99,West,debit_card,137.97
T1009,2024-01-19,Clothing,Jacket,1,89.99,North,credit_card,89.99
T1010,2024-01-19,Electronics,Keyboard,4,59.99,South,paypal,239.96
T1011,2024-01-20,Books,Textbook,6,89.99,East,credit_card,539.94
T1012,2024-01-20,Home,Sofa,1,599.99,West,cash,599.99
T1013,2024-01-21,Clothing,Shoes,2,79.99,North,debit_card,159.98
T1014,2024-01-21,Electronics,Tablet,3,399.99,South,credit_card,1199.97
T1015,2024-01-22,Books,Magazine,15,5.99,East,paypal,89.85
T1016,2024-01-22,Home,Desk,2,349.99,West,credit_card,699.98
T1017,2024-01-23,Clothing,Scarf,8,24.99,North,cash,199.92
T1018,2024-01-23,Electronics,Speaker,3,149.99,South,debit_card,449.97
T1019,2024-01-24,Books,Comic,12,12.99,East,credit_card,155.88
T1020,2024-01-24,Home,Table,1,299.99,West,paypal,299.99
