property_id,city,bedrooms,bathrooms,sqft,lot_size,year_built,condition,price
PR001,New York,3,2,1800,4500,1995,Good,850000
PR002,Los Angeles,4,3,2400,6000,2005,Excellent,1200000
PR003,Chicago,2,1,1200,3000,1985,Fair,350000
PR004,Houston,3,2,1600,4000,2010,Good,420000
PR005,Phoenix,4,2,2000,5000,2000,Good,480000
PR006,New York,2,2,1500,3500,1980,Fair,650000
PR007,Los Angeles,5,4,3200,8000,2015,Excellent,1800000
PR008,Chicago,3,2,1700,4200,1990,Good,380000
PR009,Houston,4,3,2200,5500,2012,Excellent,550000
PR010,Phoenix,3,2,1400,3500,1995,Good,390000
PR011,New York,4,3,2800,7000,2008,Excellent,1500000
PR012,Los Angeles,3,2,1900,4800,2000,Good,950000
PR013,Chicago,2,1,1100,2800,1975,Fair,290000
PR014,Houston,3,2,1500,3800,2008,Good,440000
PR015,Phoenix,4,3,2100,5200,2018,Excellent,520000
PR016,New York,3,2,2000,5000,1998,Good,920000
PR017,Los Angeles,4,3,2600,6500,2012,Excellent,1350000
PR018,Chicago,3,1,1400,3500,1988,Fair,330000
PR019,Houston,3,2,1700,4200,2015,Good,470000
PR020,Phoenix,3,2,1500,3800,2005,Good,410000
PR021,New York,3,2,1750,4600,1992,Good,870000
PR022,Los Angeles,4,3,2350,6100,2007,Excellent,1250000
PR023,Chicago,2,1,1150,2900,1982,Fair,360000
PR024,Houston,3,2,1650,4050,2011,Good,430000
PR025,Phoenix,4,2,2050,5050,2001,Good,490000
PR026,New York,2,2,1450,3550,1978,Fair,660000
PR027,Los Angeles,5,4,3150,7900,2016,Excellent,1820000
PR028,Chicago,3,2,1680,4250,1989,Good,390000
PR029,Houston,4,3,2250,5600,2013,Excellent,570000
PR030,Phoenix,3,2,1420,3600,1996,Good,400000
PR031,New York,4,3,2750,7050,2009,Excellent,1520000
PR032,Los Angeles,3,2,1850,4850,2002,Good,970000
PR033,Chicago,2,1,1080,2750,1972,Fair,300000
PR034,Houston,3,2,1520,3850,2009,Good,450000
PR035,Phoenix,4,3,2125,5300,2019,Excellent,540000
PR036,New York,3,2,1950,5100,1999,Good,940000
PR037,Los Angeles,4,3,2550,6600,2013,Excellent,1380000
PR038,Chicago,3,1,1385,3550,1987,Fair,340000
PR039,Houston,3,2,1720,4300,2016,Good,480000
PR040,Phoenix,3,2,1480,3900,2006,Good,420000
PR041,New York,4,2,2600,6800,2003,Good,1100000
PR042,Los Angeles,3,2,2000,5100,2004,Good,980000
PR043,Chicago,3,2,1600,4100,1993,Good,410000
PR044,Houston,4,3,2300,5800,2014,Excellent,600000
PR045,Phoenix,2,1,1050,2600,1979,Fair,270000
PR046,New York,2,1,1200,3200,1983,Fair,620000
PR047,Los Angeles,5,3,3000,7500,2011,Excellent,1700000
PR048,Chicago,4,2,2100,5400,2001,Good,520000
PR049,Houston,3,1,1300,3400,1998,Fair,350000
PR050,Phoenix,3,2,1550,3950,2007,Good,430000
PR051,New York,3,3,2250,6000,2012,Excellent,1400000
PR052,Los Angeles,2,2,1500,4000,1996,Good,720000
PR053,Chicago,2,1,1125,2850,1980,Fair,295000
PR054,Houston,4,2,2150,5550,2010,Good,560000
PR055,Phoenix,4,3,2200,5400,2016,Excellent,600000
PR056,New York,5,4,3100,8200,2018,Excellent,2100000
PR057,Los Angeles,4,2,2450,6350,2009,Good,1150000
PR058,Chicago,3,2,1650,4200,1999,Good,450000
PR059,Houston,2,2,1400,3600,2002,Good,420000
PR060,Phoenix,3,1,1350,3450,1989,Fair,305000
PR061,New York,4,3,2850,7400,2006,Excellent,1580000
PR062,Los Angeles,3,2,1900,4750,2001,Good,960000
PR063,Chicago,4,3,2250,5700,2010,Excellent,610000
PR064,Houston,3,2,1600,4100,2013,Good,470000
PR065,Phoenix,2,2,1300,3300,1990,Fair,310000
PR066,New York,3,2,1780,4550,1997,Good,900000
PR067,Los Angeles,5,4,3300,8400,2017,Excellent,1950000
PR068,Chicago,2,1,1180,3000,1984,Fair,355000
PR069,Houston,4,3,2400,6000,2018,Excellent,640000
PR070,Phoenix,4,2,2080,5200,2011,Good,500000
PR071,New York,2,2,1520,3650,1986,Fair,680000
PR072,Los Angeles,3,1,1700,4300,1999,Good,840000
PR073,Chicago,3,2,1720,4400,2004,Good,465000
PR074,Houston,3,2,1550,3900,2006,Good,445000
PR075,Phoenix,3,2,1485,3850,2003,Good,415000
PR076,New York,4,3,2900,7500,2014,Excellent,1650000
PR077,Los Angeles,2,2,1450,3950,1992,Fair,760000
PR078,Chicago,5,3,2600,6500,2015,Excellent,720000
PR079,Houston,4,2,2250,5850,2008,Good,570000
PR080,Phoenix,2,1,1080,2700,1985,Fair,285000
PR081,New York,3,2,1850,4700,2000,Good,930000
PR082,Los Angeles,4,3,2500,6450,2012,Excellent,1400000
PR083,Chicago,2,1,1135,2890,1977,Fair,305000
PR084,Houston,3,2,1680,4250,2017,Good,495000
PR085,Phoenix,4,3,2150,5350,2020,Excellent,620000
PR086,New York,5,4,3200,8300,2019,Excellent,2200000
PR087,Los Angeles,3,2,2050,5150,2008,Good,1020000
PR088,Chicago,4,2,2000,5100,1996,Good,480000
PR089,Houston,2,2,1380,3600,1994,Fair,370000
PR090,Phoenix,3,2,1525,3925,2009,Good,435000
PR091,New York,4,3,2755,7200,2005,Excellent,1605000
PR092,Los Angeles,5,4,3350,8600,2018,Excellent,2000000
PR093,Chicago,3,2,1705,4350,2007,Good,460000
PR094,Houston,4,3,2355,5900,2011,Excellent,610000
